city,lat,lng,country,capital,population,id
Puerto Williams,-54.9333,-67.6167,Chile,minor,2500,1152455279
Ushuaia,-54.79,-68.31,Argentina,admin,58028,1032847885
Grytviken,-54.2806,-36.508,South Georgia And South Sandwich Islands,,99,1239048837
Rio Grande,-53.7914,-67.699,Argentina,minor,31095,1032824067
Punta Arenas,-53.165,-70.94,Chile,admin,117430,1152262933
Balsadero Rio Verde,-52.65,-71.4666,Chile,,358,1152114092
Puerto Natales,-51.7183,-72.5117,Chile,minor,20000,1152225106
Stanley,-51.7,-57.85,Falkland Islands (Islas Malvinas),,2213,1238780509
Veintiocho de Noviembre,-51.65,-72.3,Argentina,,5300,1032715340
Rio Gallegos,-51.6333,-69.2166,Argentina,admin,85700,1032471024
El Calafate,-50.3333,-72.3,Argentina,minor,8000,1032210475
Comandante Luis Piedra Buena,-49.9745,-68.9035,Argentina,,410,1032946044
San Julian,-49.3,-67.7167,Argentina,minor,2347,1032464702
Gobernador Gregores,-48.7666,-70.25,Argentina,minor,2519,1032720049
Villa O'Higgins,-48.4679,-72.56,Chile,,250,1152709181
Puerto Deseado,-47.75,-65.9,Argentina,minor,3305,1032537209
Cochrane,-47.2663,-72.5499,Chile,minor,4441,1152054657
Halfmoon Bay,-46.8876,168.1666,New Zealand,,310,1554077152
Perito Moreno,-46.6,-70.9334,Argentina,minor,3766,1032891854
Invercargill,-46.4094,168.365,New Zealand,admin,49200,1554148942
Glencoe,-46.0947,168.9604,New Zealand,,9750,1554979133
Dunedin,-45.8854,170.491,New Zealand,admin,117700,1554475997
Comodoro Rivadavia,-45.87,-67.5,Argentina,minor,140850,1032042035
Rio Mayo,-45.6834,-70.2666,Argentina,,1825,1032155044
Sarmiento,-45.6,-69.0833,Argentina,minor,5185,1032479340
Coyhaique,-45.57,-72.07,Chile,admin,45787,1152541137
Te Anau,-45.4074,167.7585,New Zealand,,1857,1554603580
Puerto Aysen,-45.3999,-72.7,Chile,minor,8067,1152158570
Alto Rio Senguer,-45.0333,-70.8333,Argentina,minor,1548,1032532362
Macetown,-45.0227,168.7251,New Zealand,,16600,1554582165
Wanaka,-44.698,169.1449,New Zealand,,5037,1554152950
Timaru,-44.3972,171.2425,New Zealand,,27200,1554243304
Waitangi,-44.0263,-176.3696,New Zealand,admin,300,1554847194
Ashton,-43.8983,171.7486,New Zealand,,17700,1554784264
Christchurch,-43.535,172.63,New Zealand,admin,363200,1554377228
Kairaki,-43.3813,172.651,New Zealand,,10200,1554001309
Rawson,-43.3,-65.1,Argentina,admin,26335,1032302344
Trelew,-43.25,-65.33,Argentina,,93442,1032440034
Quellon,-43.0996,-73.6,Chile,,7029,1152502358
Kingston,-42.9911,147.3084,Australia,,14371,1036297213
Esquel,-42.9,-71.3166,Argentina,minor,20048,1032489067
